Lana Del Rey,Summertime Sadness,1
Katy Perry,Roar,1
Radiohead,Karma Police,4
Daft Punk,Get Lucky,3
Justin Timberlake,Take Back the Night,1
Jay-Z,Holy Grail,1
Des'ree,I'm Kissing You,2
One Direction,Best Song Ever,2
Cyndi Lauper,Time After Time,2
Lady Gaga,Applause,3
The Bangles,Eternal Flame,2
Gloria Estefan,Here We Are,2
Barry Manilow,Mandy,4
Andy Williams,Can't Take My Eyes off You,4
Marvin Gaye,Sexual Healing,1
Flo Rida,Whistle,4
Demi Lovato,Give Your Heart A Break,2
P!nk,Blow Me (One Last Kiss),3
Ellie Goulding,Lights,3
Neon Trees,Everybody Talks,4
Katy Perry,Wide Awake,4
David Guetta,Titanium,4
Maroon 5,One More Night - Commentary,1
Owl City,Good Time,1
Justin Bieber,As Long As You Love Me,2
Taylor Swift,We Are Never Ever Getting Back Together,4
Fun,Some Nights,2
Robin Thicke,Blurred Lines,2
Maroon 5,Love Somebody,4
Zedd,Clarity,1
Imagine Dragons,Radioactive,2
Capital Cities,Safe And Sound,1
Calvin Harris,I Need Your Love,2
Macklemore & Ryan Lewis,Same Love,4
Anna Kendrick,Cups,1
Miley Cyrus,We Can't Stop,2
Bruno Mars,Treasure,2
Rihanna,Where Have You Been,4
Cher Lloyd,Want U Back (Acoustic),1
Maroon 5,Payphone,3
Nicki Minaj,Pound The Alarm,2
Calvin Harris,Let's Go,1
Alex Clare,Too Close,3
Chris Brown,Don't Wake Me Up,2
Jason Mraz,I Won't Give Up,2
Taylor Swift,Shake It Off,1
Maroon 5,Animals,3
Meghan Trainor,All About That Bass,3
Tove Lo,Habits,2
Ed Sheeran,Don't,1
Taylor Swift,Blank Space,2
Sam Smith,I'm Not The Only One,3
Jessie J,Bang Bang,4
Mr. Probz,Waves,3
Calvin Harris,Blame,1
Hozier,Take Me To Church,2
Nick Jonas,Jealous,2
Nico & Vinz,In Your Arms,4
Fall Out Boy,Centuries,3
Alicia Keys,If I Ain't Got You,1
John Legend,Stay with You,2
Westlife,You Are So Beautiful (To Me),4
Chris Brown,With You,0
Alexandra Burke,The Silence,4
Will Young,All Time Love,2
Shakira,UNDERNEATH YOUR CLOTHES (REMIX),4
Jordin Sparks,No Air,3
Matt Cardle,The First Time Ever I Saw Your Face,4
Daniel Merriweather,Red,1
Newton Faulkner,Dream Catch Me,3
Finley Quaye,Your Love Gets Sweeter,4
Sara Bareilles,Many the Miles,2
Anthony Hamilton,Best of Me,2
Maxwell,Ascension,1
Angie Stone,Wish I Didn't Miss You,0
Natasha Bedingfield,Soulmate,1
The Calling,Wherever You Will Go,3
Backstreet Boys,As Long as You Love Me,2
Taylor Swift,Wildest Dreams,4
Adele,Skyfall,2
Savage Garden,Truly Madly Deeply,3
Anirudh Ravichander,Aaluma Doluma,1
Harris Jayaraj,"Adhaaru Adhaaru (From ""Yennai Arindhaal"")",3
Dolly Parton,I Will Always Love You,4
Bob Dylan,Make You Feel My Love,3
Elvis Presley,Love Me Tender - Love Me Tender,1
Harry Nilsson,Without You,2
John Denver,Annie's Song,4
Toto,I Won't Hold You Back,1
REO Speedwagon,Keep On Loving You,4
Lonestar,Amazed,3
Jennifer Rush,The Power Of Love,4
Bonnie Tyler,Total Eclipse of the Heart,2
Eric Carmen,All By Myself,4
Michael Bolton,How Am I Supposed to Live Without You (Bonus Track),1
Curtis Stigers,You're All That Matters to Me,1
Daryl Hall,Sara Smile,4
Terence Trent D'Arby,Sign Your Name,2
The Weeknd,Can't Feel My Face,2
Coldplay,Viva La Vida,2
