Phuture,Acid Tracks,0.010288,0.789773,0.891927,0.095836,0.03879375,1,0.066381,0.586694444,0.598885,3
Dave Brubeck,Take the 'A' Train,0.582316,0.479153,0.709085,0.662799,0.058,1,0.059744,0.607977778,0.555598,0
Black Sabbath,Paranoid,0.098915,0.297179,0.866577,0.959435,0.06389375,1,0.067704,0.393816667,0.364896,4
Beethoven & DSI,Moonlight Sonata,0.063799,0.659433,0.588198,0.128143,0.058675,0,0.038046,0.600044444,0.25573,1
Metallica,The Four Horsemen,0.002396,0.228279,0.953437,0.124573,0.08866875,1,0.348481,1.011755556,0.33575,4
Destiny's Child,Survivor,0.08975,0.581055,0.863447,0.301551,0.1121875,1,0.26441,0.783583333,0.683802,3
Ravel,Bolero,0.908509,0.372745,0.149405,0.088908,0.01269375,1,0.037296,0.259938889,0.242934,1
TLC,Waterfalls,0.276491,0.809742,0.606413,0.271805,0.084225,0,0.0812,0.374683333,0.778947,2
Ghost Town DJ's,My Boo,0.000314,0.840349,0.594258,0.189503,0.08555,0,0.053603,0.61155,0.634965,1
Richard Wagner,The Ride Of The Valkyries,0.907027,0.283304,0.351131,0.113705,0.01629375,1,0.037406,0.407933333,0.148421,0
Johnny Hartman,Lush Life,0.941949,0.461878,0.098622,0.173229,0.00184375,0,0.052231,0.514383333,0.190105,1
Black Sabbath,War Pigs,0.03669,0.305479,0.576967,0.203834,0.07716875,1,0.11506,0.862127778,0.403454,3
Mariah Carey,Fantasy,0.104307,0.649119,0.733898,0.11125,0.078725,1,0.038675,0.4575,0.820094,1
Charles Gounod,Ave Maria,0.988949,0.069315,0.107898,0.137372,-0.040325,1,0.043359,0.293816667,0.104389,1
Azzido Da Bass,Dooms Night,0.006328,0.837346,0.813426,0.150037,0.0820625,1,0.137429,0.622455556,0.157218,3
System of a Down,Chop Suey!,0.000353,0.420005,0.929286,0.122167,0.10063125,0,0.121273,0.595577778,0.318239,3
Ms. Lauryn Hill,Doo Wop,0.010629,0.744452,0.765385,0.525082,0.08996875,1,0.209421,0.444038889,0.584397,1
Ozzy Osbourne,Crazy Train,0.014464,0.471303,0.91677,0.323439,0.10265,1,0.054926,0.653388889,0.59364,3
Nina Simone,Feeling Good,0.744332,0.434727,0.371022,0.46558,0.06013125,0,0.034337,0.325027778,0.593755,1
Paperclip People,Throw,0.000918,0.80557,0.542486,0.09189,0.0786,0,0.078609,0.594594444,0.079483,2
Johannes Brahms,"Piano Quartet No. 1 in G Minor, Op. 25: III. Andante con moto - Animato",0.961074,0.167328,0.077507,0.115131,0.00078125,1,0.040389,0.323205556,0.056586,0
D'Angelo,Untitled (How Does It Feel),0.193144,0.807087,0.344478,0.11288,0.0673375,0,0.05509,0.514533333,0.276951,2
Metallica,Fade To Black,0.047705,0.263036,0.72456,0.100775,0.0526375,1,0.064384,0.519455556,0.448332,4
Blackstreet,No Diggity,0.33207,0.701059,0.670837,0.099239,0.09363125,0,0.378472,0.873911111,0.677642,1
Dio,Holy Diver,0.131662,0.441124,0.880896,0.400268,0.08386875,0,0.08831,0.380316667,0.509771,3
Iron Maiden,Hallowed Be Thy Name,0.007468,0.362076,0.889324,0.440123,0.0724,0,0.05716,0.531733333,0.363468,4
Richard Strauss,"Also sprach Zarathustra, Op.30",0.917843,0.109018,0.113273,0.087557,-0.00336875,1,0.039289,0.389561111,0.036699,0
John Coltrane,A Love Supreme Part I: Acknowledgement,0.479193,0.390066,0.556806,0.342416,0.0477375,0,0.074617,0.559755556,0.466568,1
Lumidee,NEVER LEAVE YOU (Remix),0.602587,0.894627,0.268537,0.083857,0.012025,1,0.519151,0.629122222,0.764599,3
Megadeth,Holy Wars...The Punishment Due,0.002927,0.339346,0.887519,0.295703,0.04888125,1,0.069806,0.583811111,0.314423,3
Second Phase,Mentasm,0.001234,0.699777,0.835855,0.055578,0.075675,1,0.065686,0.611516667,0.617032,3
Gladys Knight,Since I Fell For You,0.775969,0.31786,0.198038,0.119898,0.05150625,1,0.046542,0.254061111,0.15511,0
Marshall Jefferson,Move Your Body,0.048359,0.76564,0.917413,0.772109,0.08941875,0,0.107177,0.568355556,0.66502,2
Ann Southam,Glass Houses No. 11,0.99318,0.297329,0.185899,0.108017,-0.0085625,1,0.040676,0.429783333,0.263965,0
Moby,Go,0.00028,0.615812,0.736991,0.062403,0.0657375,0,0.047279,0.633488889,0.657971,4
Cybotron,Clear,0.016315,0.860325,0.662775,0.318725,0.05175,0,0.07903,0.5841,0.304452,3
Franz Schubert,"Du bist die Ruh, Op. 59 No. 3, D. 776",0.90215,0.205821,0.071786,0.133054,0.0211125,1,0.03541,0.647044444,0.126169,0
Judas Priest,Painkiller,0.000175,0.421849,0.965453,0.388942,0.0730625,0,0.115787,0.461938889,0.085167,4
Metallica,Master Of Puppets,0.000562,0.253012,0.95946,0.127319,0.1092125,0,0.066188,0.53095,0.370233,4
Wolfgang Amadeus Mozart,Eine Kleine Nachtmusik,0.87222,0.236392,0.031236,0.082209,-0.03781875,1,0.048608,0.289377778,0.119023,0
Ginuwine,Pony,0.003083,0.756544,0.608647,0.115187,0.07426875,0,0.1206,0.677844444,0.957302,3
Inner City,Big Fun,0.025317,0.660698,0.985679,0.070995,0.090325,0,0.053715,0.556227778,0.966746,2
Kenny Burrell,All Blues,0.963695,0.528955,0.259723,0.113063,0.01120625,1,0.036165,0.487422222,0.180772,0
Marian McPartland,My Funny Valentine,0.96811,0.407861,0.100027,0.093979,0.050275,0,0.033057,0.675727778,0.186429,1
BACH,"Suite No. 1 in G Major, BWV 1007: IV. Sarabande",0.935573,0.203594,0.195734,0.226307,0.014075,1,0.041246,0.474488889,0.258422,1
Erykah Badu,On & On,0.056797,0.758206,0.491404,0.375587,0.07121875,0,0.140768,0.335516667,0.326806,2
Slayer,Angel Of Death,6.80E-05,0.263151,0.996981,0.099687,0.10469375,0,0.156346,0.39045,0.07586,3
Mary J. Blige,Real Love,0.010511,0.621095,0.898535,0.76951,0.0787375,1,0.129071,0.424794444,0.501448,2
Underworld,Born Slippy - NUXX,0.012343,0.336792,0.968006,0.08423,0.0779125,1,0.09198,0.670783333,0.221542,4
Anthrax,Burst,0.018809,0.285757,0.961916,0.446308,0.08324375,1,0.158283,0.431772222,0.153966,4
Dave Brubeck,Take Five,0.507967,0.431001,0.359099,0.041504,0.04638125,0,0.052109,0.835316667,0.772015,1
Black Sabbath,Iron Man,0.000467,0.263608,0.793208,0.103755,0.0745375,0,0.163396,0.700605556,0.597437,4
Billie Holiday,God Bless the Child,0.962812,0.584009,0.617321,0.46926,0.08423125,0,0.367376,0.628005556,0.552804,0
Metallica,One,0.004046,0.292619,0.622436,0.974616,-0.00056875,1,0.05575,0.438694444,0.298985,4
Ludwig van Beethoven,Ode to Joy (Instrumental),0.978749,0.34694,0.300484,0.206546,0.063,1,0.034298,0.3129,0.442198,1
R. Kelly,Bump N' Grind,0.09127,0.673646,0.492318,0.236347,0.0799125,1,0.034175,0.612061111,0.686126,3
The Chemical Brothers,Block Rockin' Beats,0.010201,0.616129,0.974805,0.091389,0.081325,0,0.054039,0.49655,0.881656,2
Miles Davis,So What,0.579356,0.421815,0.466749,0.195995,0.0245125,1,0.050088,0.624433333,0.637722,0
Stardust,Music Sounds Better With You,0.001415,0.703969,0.27375,0.126447,0.003225,1,0.198961,0.57625,0.366513,2
Pantera,Cemetery Gates,0.000299,0.256149,0.855365,0.122585,0.08150625,1,0.057969,0.697311111,0.395043,3
Adina Howard,Freak Like Me,0.027061,0.630467,0.819158,0.075979,0.08655625,0,0.108987,0.394138889,0.675485,1
Carl Orff,O Fortuna (Carmina Burana),0.967439,0.336204,0.243212,0.29045,0.03423125,1,0.033988,0.661394444,0.141868,0
Bizet,"Seguidiglla From The Opera ""Carmen""",0.811472,0.368032,0.225576,0.131913,-0.01429375,1,0.042378,0.488977778,0.19194,1
